psi,df,sample_size,mean_prob,std_prob,q1_prob,mode_prob,n_valid
0.2,1.0,100,0.8206892901912459,0.025107935744807568,0.8148483911222246,0.9260973873354437,200
0.2,1.0,200,0.828928903934949,0.021582473393759915,0.8245263356585827,0.9442238375722536,200
0.2,1.0,500,0.818811710270795,0.06273731716163317,0.8264028018011066,0.9359264014203645,200
0.2,1.0,1000,0.8233479584753566,0.044123077950615416,0.828079182273176,0.9421909790077222,200
0.2,2.0,100,0.9209206189594298,0.033542776318119215,0.9015840297734976,0.9618786232652429,200
0.2,2.0,200,0.9388306480598254,0.01791414175198607,0.928651514384191,0.9621311494960441,200
0.2,2.0,500,0.9449341089390054,0.011805082965764943,0.9386542898391161,0.9618455798917803,200
0.2,2.0,1000,0.9464941409697173,0.010739610524570665,0.9399020807941488,0.9624341383857341,200
0.2,3.0,100,0.9425975732590475,0.034533367711588894,0.9226819983134198,0.9918229613891449,200
0.2,3.0,200,0.961456313098644,0.023358829463767734,0.9475877203217,0.9920544158512113,200
0.2,3.0,500,0.9674735442752248,0.01716371376593341,0.9570922630354153,0.9916809396866275,200
0.2,3.0,1000,0.9720328614868697,0.013239002152187464,0.9645933617853556,0.9919900124076886,200
0.5,1.0,100,0.6583689354574328,0.008078402762211244,0.6555988412424814,0.6703715866497172,200
0.5,1.0,200,0.6625418331060259,0.005748871812861395,0.6603296388263553,0.697175416507847,200
0.5,1.0,500,0.656493484091126,0.0424896682871022,0.6601989253127024,0.7539711454105638,200
0.5,1.0,1000,0.6398121430508417,0.08879693513024207,0.6566767095205635,0.6795750997806471,200
0.5,2.0,100,0.7536249033006591,0.029795663693535132,0.7334028611376305,0.7989268584967728,200
0.5,2.0,200,0.7700435498406293,0.020874162213453024,0.7594452526253579,0.8000355007511791,200
0.5,2.0,500,0.7654274413915606,0.06476588594067063,0.7595955964575738,0.8000160335171759,200
0.5,2.0,1000,0.7664907570786116,0.06101114310531334,0.7645612004655211,0.7999956195562398,200
0.5,3.0,100,0.7835206060640109,0.053482251730974435,0.7421730222468252,0.8831546938172227,200
0.5,3.0,200,0.8186168719040933,0.041560063295249645,0.7903952813755932,0.887922669742086,200
0.5,3.0,500,0.8237915924475577,0.0368538639915997,0.8002946980885549,0.8848853493670763,200
0.5,3.0,1000,0.8268510557140035,0.04040402698588429,0.8051361594235511,0.8858594431381192,200
0.8,1.0,100,0.5148073075938794,0.02947550390956078,0.5131161408214557,0.7793188938984373,200
0.8,1.0,200,0.5335254786841805,0.016225053095765236,0.5340181876947464,0.5696231766352103,200
0.8,1.0,500,0.5404230495077431,0.05824482078169484,0.541022572855464,0.953080123788344,200
0.8,1.0,1000,0.5178363411217252,0.11384264669584823,0.5197331532443044,0.8771944663570653,200
0.8,2.0,100,0.5025341167518418,0.02817504523940925,0.4862974556955589,0.5968518582030098,200
0.8,2.0,200,0.5379123641716099,0.02091212462373201,0.5235829312860942,0.5675540338690482,200
0.8,2.0,500,0.5446528849523653,0.0650694531958382,0.5277756952716418,0.5914598086905652,200
0.8,2.0,1000,0.5208702219317011,0.10682807392234377,0.4897662168193345,0.5973399041372291,200
0.8,3.0,100,0.4728717379697776,0.04724602947807185,0.44212526225194315,0.6610919494622576,200
0.8,3.0,200,0.5085894687719895,0.031318934018822964,0.48667448016165615,0.6001802803414974,200
0.8,3.0,500,0.5324475623797311,0.0592026161695842,0.49481989163055873,0.5986905639142378,200
0.8,3.0,1000,0.5300979875157417,0.08019007859962458,0.4824854423368056,0.6246997811624799,200
